ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-425N|refseq:NP_005602|uniprotkb:Q08999	DIP-266N|refseq:NP_001941|uniprotkb:Q16254	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9121766|pubmed:DIP-337S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-16E	dip-quality-status:core	dip:0002(small scale)		-
DIP-163N|refseq:NP_003190|uniprotkb:P15884	DIP-713N|refseq:NP_002158|uniprotkb:Q02535	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8999959|pubmed:DIP-41S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17E	dip-quality-status:core	dip:0002(small scale)		-
DIP-617N|refseq:NP_000607|uniprotkb:P01730	DIP-145N|uniprotkb:Q9PY23	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8906795|pubmed:DIP-262S	taxid:9606(Homo sapiens)	taxid:11676(human immunodeficiency virus type 1, HIV-1)	MI:0218(physical interaction)	MI:0465(dip)	DIP-19E	dip-quality-status:core	dip:0002(small scale)		-
DIP-150N|refseq:NP_003394|uniprotkb:P25490	DIP-681N|refseq:NP_014069|uniprotkb:P32561	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8917507|pubmed:DIP-447S	taxid:9606(Homo sapiens)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-20E	dip-quality-status:core	dip:0002(small scale)		-
DIP-182N|uniprotkb:Q13315	DIP-1042N|uniprotkb:P00519	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9168117|pubmed:DIP-377S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-25E	dip-quality-status:core	dip:0002(small scale)		-
DIP-785N|refseq:NP_011062|uniprotkb:P39958	DIP-372N|uniprotkb:P20338	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9184135|pubmed:DIP-381S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-29E	dip-quality-status:core	dip:0002(small scale)		-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	DIP-674N|refseq:NP_058706|uniprotkb:P35439	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009191|pubmed:DIP-290S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-30E	dip-quality-status:core	dip:0002(small scale)		-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	DIP-538N|refseq:NP_001734|uniprotkb:P02593	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009191|pubmed:DIP-290S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-31E	dip-quality-status:core	dip:0002(small scale)		-
DIP-459N|refseq:NP_006234|uniprotkb:Q15172	DIP-155N|uniprotkb:P31314	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009195|pubmed:DIP-409S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-32E	dip-quality-status:core	dip:0002(small scale)		-
DIP-215N|uniprotkb:P35918	DIP-165N|uniprotkb:P15692	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0030(cross-linking study)|MI:0401(biochemical)	-	pubmed:7681362|pubmed:DIP-22S|pubmed:7681362|pubmed:DIP-22S|pubmed:7681362|pubmed:DIP-22S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-34E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-459N|refseq:NP_006234|uniprotkb:Q15172	DIP-908N|uniprotkb:Q94818	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9201974|pubmed:DIP-258S	taxid:9606(Homo sapiens)	taxid:5911(Tetrahymena thermophila)	MI:0218(physical interaction)	MI:0465(dip)	DIP-35E	dip-quality-status:core	dip:0002(small scale)		-
DIP-617N|refseq:NP_000607|uniprotkb:P01730	DIP-617N|refseq:NP_000607|uniprotkb:P01730	-	-	-	-	MI:0030(cross-linking study)|MI:0013(biophysical)	-	pubmed:9168119|pubmed:DIP-155S|pubmed:9168119|pubmed:DIP-155S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	DIP-704N|refseq:NP_002469|uniprotkb:P15172	-	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9184158|pubmed:DIP-273S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-43E	dip-quality-status:core	dip:0002(small scale)		-
DIP-643N|refseq:NP_002010|uniprotkb:P17948	DIP-165N|uniprotkb:P15692	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)|MI:0254(genetic interference)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pubmed:8621427|pubmed:DIP-222S|pubmed:8621427|pubmed:DIP-222S|pubmed:8621427|pubmed:DIP-222S|pubmed:8621427|pubmed:DIP-222S|pubmed:8621427|pubmed:DIP-222S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-486N|refseq:NP_002244|uniprotkb:P35968	DIP-165N|uniprotkb:P15692	 -	-	-	-	MI:0013(biophysical)	-	pubmed:8621427|pubmed:DIP-222S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-46E	dip-quality-status:core	dip:0002(small scale)		-
DIP-873N|uniprotkb:P23763	DIP-390N|uniprotkb:Q16623	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9144278|pubmed:DIP-200S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-49E	dip-quality-status:core	dip:0002(small scale)		-
DIP-400N	DIP-617N|refseq:NP_000607|uniprotkb:P01730	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8906795|pubmed:DIP-262S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-50E	dip-quality-status:core	dip:0002(small scale)		-
DIP-90N|uniprotkb:P18428	DIP-1030N|refseq:NP_000582|uniprotkb:P08571	 -	-	-	-	MI:0401(biochemical)	-	pubmed:2402637|pubmed:DIP-439S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-54E	dip-quality-status:core	dip:0002(small scale)		-
DIP-58N|uniprotkb:P10809	DIP-1081N|uniprotkb:P04273	 -	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:8676499|pubmed:DIP-98S|pubmed:8676499|pubmed:DIP-98S	taxid:9606(Homo sapiens)	taxid:10036(Mesocricetus auratus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-57E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-478N|uniprotkb:P05107	DIP-629N|refseq:NP_000864|uniprotkb:P13598	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9153399|pubmed:DIP-214S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-59E	dip-quality-status:core	dip:0002(small scale)		-
DIP-328N	DIP-328N	-	-	-	-	MI:0013(biophysical)	-	pubmed:9002522|pubmed:DIP-291S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-63E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	DIP-1043N|refseq:NP_000624|uniprotkb:P10415	-	-	-	-	MI:0013(biophysical)	-	pubmed:9144199|pubmed:DIP-367S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-64E	dip-quality-status:core	dip:0002(small scale)		-
DIP-232N|uniprotkb:Q07812	DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18981409|pubmed:DIP-11730S|pubmed:9194558|pubmed:DIP-209S|pubmed:18981409|pubmed:DIP-11730S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-65E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-393N|uniprotkb:P54920	DIP-389N|uniprotkb:P46459	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9144278|pubmed:DIP-200S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-70E	dip-quality-status:core	dip:0002(small scale)		-
DIP-31N|refseq:NP_002976|uniprotkb:P13501	DIP-400N	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8976200|pubmed:DIP-140S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-71E	dip-quality-status:core	dip:0002(small scale)		-
DIP-391N|uniprotkb:P48061	DIP-400N	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8976200|pubmed:DIP-140S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-72E	dip-quality-status:core	dip:0002(small scale)		-
DIP-129N|refseq:NP_000839|uniprotkb:P28161	DIP-161N|refseq:NP_001789|uniprotkb:P24941	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8606778|pubmed:DIP-62S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-73E	dip-quality-status:core	dip:0002(small scale)		-
DIP-953N|refseq:NP_003111|uniprotkb:P17947	DIP-146N|uniprotkb:P49716	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)	-	pubmed:7594592|pubmed:DIP-403S|pubmed:7594592|pubmed:DIP-403S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-75E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-953N|refseq:NP_003111|uniprotkb:P17947	DIP-53N|refseq:NP_057869|uniprotkb:P17095	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7594592|pubmed:DIP-403S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-76E	dip-quality-status:core	dip:0002(small scale)		-
DIP-169N|refseq:NP_003137|uniprotkb:Q08945	DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7594592|pubmed:DIP-403S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-77E	dip-quality-status:core	dip:0002(small scale)		-
DIP-407N|refseq:NP_001056|uniprotkb:P19438	DIP-285N|refseq:NP_003780|uniprotkb:Q15628	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9129204|pubmed:DIP-72S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-78E	dip-quality-status:core	dip:0002(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-407N|refseq:NP_001056|uniprotkb:P19438	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9129204|pubmed:DIP-72S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-79E	dip-quality-status:core	dip:0002(small scale)		-
DIP-407N|refseq:NP_001056|uniprotkb:P19438	DIP-286N|refseq:NP_003815|uniprotkb:Q13158	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9129204|pubmed:DIP-72S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-80E	dip-quality-status:core	dip:0002(small scale)		-
DIP-93N|refseq:NP_000868|uniprotkb:P14778	DIP-85N|refseq:NP_032715|uniprotkb:P25799	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9020361|pubmed:DIP-274S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-81E	dip-quality-status:core	dip:0002(small scale)		-
DIP-406N|refseq:NP_002498|uniprotkb:P08138	DIP-451N|uniprotkb:Q91407	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9204927|pubmed:DIP-123S	taxid:9606(Homo sapiens)	taxid:7955(Danio rerio)	MI:0218(physical interaction)	MI:0465(dip)	DIP-82E	dip-quality-status:core	dip:0002(small scale)		-
DIP-451N|uniprotkb:Q91407	DIP-346N|refseq:NP_002518|uniprotkb:P20783	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7972023|pubmed:DIP-57S	taxid:7955(Danio rerio)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-83E	dip-quality-status:core	dip:0002(small scale)		-
DIP-144N|uniprotkb:P20936	DIP-1050N|refseq:NP_005334|uniprotkb:P01112	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9219684|pubmed:DIP-225S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-84E	dip-quality-status:core	dip:0002(small scale)		-
DIP-405N|refseq:NP_005219|uniprotkb:P00533	DIP-29229N|uniprotkb:P62993	 -	-	-	-	MI:0401(biochemical)	-	pubmed:1322798|pubmed:DIP-268S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-85E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29229N|uniprotkb:P62993	DIP-450N|uniprotkb:P52583	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:1322798|pubmed:DIP-268S	taxid:9606(Homo sapiens)	taxid:93934(Coturnix coturnix japonica)	MI:0218(physical interaction)	MI:0465(dip)	DIP-86E	dip-quality-status:core	dip:0002(small scale)		-
DIP-474N|refseq:NP_000567|uniprotkb:P01584	DIP-175N|uniprotkb:P29466	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-88E	dip-quality-status:core	dip:0002(small scale)		-
DIP-483N|uniprotkb:P01579	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-89E	dip-quality-status:core	dip:0002(small scale)		-
DIP-175N|uniprotkb:P29466	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-90E	dip-quality-status:core	dip:0002(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-91E	dip-quality-status:core	dip:0002(small scale)		-
DIP-229N|refseq:NP_795344|uniprotkb:P32239	DIP-403N|refseq:NP_000796|uniprotkb:P01350	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8824290|pubmed:DIP-237S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-95E	dip-quality-status:core	dip:0002(small scale)		-
DIP-664N|refseq:NP_037101|uniprotkb:P35570	DIP-403N|refseq:NP_000796|uniprotkb:P01350	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8824290|pubmed:DIP-237S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-96E	dip-quality-status:core	dip:0002(small scale)		-
DIP-253N|refseq:NP_003168|uniprotkb:P43405	DIP-295N|uniprotkb:Q15349	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9218456|pubmed:DIP-259S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-97E	dip-quality-status:core	dip:0002(small scale)		-
DIP-879N	DIP-1037N|uniprotkb:P07996	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9169439|pubmed:DIP-53S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-98E	dip-quality-status:core	dip:0002(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-500N|uniprotkb:P79802	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)	-	pubmed:9219695|pubmed:DIP-406S|pubmed:9219695|pubmed:DIP-406S	taxid:9606(Homo sapiens)	taxid:30608(Microcebus murinus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-99E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-190N|uniprotkb:Q13753	DIP-26N|refseq:NP_004521|uniprotkb:P08253	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9211848|pubmed:DIP-129S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-101E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1057N|uniprotkb:P10242	DIP-235N|uniprotkb:P38531	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)|MI:0013(biophysical)	-	pubmed:9211854|pubmed:DIP-49S|pubmed:9211854|pubmed:DIP-49S|pubmed:9211854|pubmed:DIP-49S	taxid:9606(Homo sapiens)	taxid:9031(Gallus gallus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-102E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-267N|refseq:NP_446309|uniprotkb:Q62622	DIP-22N|refseq:NP_001959|uniprotkb:P06730	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-114E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-61N|refseq:NP_036801|uniprotkb:P15257	DIP-499N|uniprotkb:P41235	 -	-	-	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pubmed:9204893|pubmed:DIP-99S|pubmed:9204893|pubmed:DIP-99S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-115E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-987N|uniprotkb:Q60431	DIP-331N|uniprotkb:P36956	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)	-	pubmed:8643593|pubmed:DIP-204S|pubmed:8643593|pubmed:DIP-204S	taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster))	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-116E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
